LandProvince;SeaZone;x;y
north_varga;southern_rift_sea;8354;7726;x
tiggak;coast_of_drengyr;8952;7699;x
seahome;coast_of_drengyr;8876;7718;x
tavehk;west_briivan_sea;7960;7736;x
svaldran;strait_of_bjorlan;8678;7724;x
east_briihk;east_briivan_sea;7998;7719;x
uvondrait;south_panorian_sea;6514;7703;x
konsait;bay_of_seals;9321;7712;x
tvar;coast_of_drengyr;8833;7695;x
west_briihk;west_briivan_sea;7923;7718;x
southern_alrik;thuden_coast;8491;7705;x
gulraz;upper_black_coast;7627;7711;x
salkwen;northeast_emean_shore;11778;7701;x
pamiiu;northern_sea_of_whales;9133;7715;x
solven;coast_of_drengyr;8891;7706;x
helsing;coast_of_drengyr;8914;7705;x
haaqland;northern_sea_of_whales;9168;7714;x
thabinton;northeast_emean_shore;11704;7699;x
kifra;west_iron_sea;6973;7689;x
nashagraz;west_iron_sea;7007;7704;x
reykjaby;skallor_sea;8742;7682;x
orvik;skallor_sea;8776;7686;x
unnamed_location_115;northern_thark_coast;13564;7667;x
kashdremul;tonchad_coast;7797;7683;x
ijaran;coast_of_drengyr;8811;7683;x
kollnavi;miqur_coast;9396;7688;x
kewnupe;upper_mountain_coast;10688;7674;x
illuin;isschan_sea;8232;7660;x
ketag;black_gulf;7644;7684;x
yutepa;black_gulf;7688;7683;x
blackcliff;lower_black_coast;7579;7662;x
teu_pot;crystal_sea;8168;7686;x
tyrven_bor;west_panorian_coast;6451;7670;x
laulau;northeast_emean_shore;11799;7659;x
south_varga;thuden_coast;8390;7663;x
odd_isle;vehk_gully;7922;7672;x
akkuma;black_gulf;7734;7670;x
jorekkr;thuden_coast;8511;7664;x
unnamed_location_160;vul_coast;14065;7653;x
lower_iron_isles;south_iron_sea;7027;7648;x
bjorlan;strait_of_bjorlan;8591;7660;x
jephar;tosshen_pass;8156;7638;x
tertepa;tonchad_coast;7819;7651;x
teu_aper;isschan_sea;8251;7651;x
yinegyun;battered_coast;11906;7620;x
orbonfell;strait_of_bjorlan;8646;7654;x
neifland;thuden_coast;8478;7646;x
sjaldan;strait_of_bjorlan;8552;7651;x
issholas;isschan_sea;8220;7634;x
mosgha;lower_black_coast;7547;7634;x
yakur;upper_mountain_coast;10705;7616;x
bruvek;vehk_gully;7864;7637;x
hodla;vehk_gully;7901;7640;x
nanper_coast;isschan_sea;8268;7618;x
borelia;north_varsk_sea;8969;7612;x
rehk;gors_coast;7947;7629;x
pilssh;tosshen_pass;8152;7621;x
northpearl;north_varsk_sea;8818;7604;x
frys;thuden_coast;8361;7627;x
sona;thuden_coast;8441;7625;x
skallor;skallor_sea;8693;7599;x
tear;tosshen_pass;8128;7609;x
unnamed_location_116;northern_thark_coast;13574;7589;x
coldhearth;north_varsk_sea;8899;7609;x
unnamed_location_159;vul_coast;14130;7565;x
roslagn;thuden_coast;8391;7621;x
scarred_shore;gors_coast;7989;7619;x
solper;thuden_coast;8342;7617;x
crystal;isschan_sea;8201;7600;x
teu_nen;glacial_sea;8060;7611;x
paldar;isschan_sea;8243;7603;x
njarla;thuden_coast;8410;7612;x
dshuvulborg;lower_black_coast;7490;7593;x
azqer_isles;north_varsk_sea;8966;7590;x
ulda;tosshen_pass;8131;7600;x
uviels_shore;isschan_sea;8295;7602;x
highstar;north_varsk_sea;8883;7586;x
south_poldam;glacier_strait;8174;7561;x
rakur;upper_mountain_coast;10729;7552;x
lofta_isle;north_varsk_sea;8844;7580;x
montau;battered_coast;11944;7568;x
sotvin;paldan_strait;8224;7561;x
pulasper;glacier_strait;8155;7556;x
southshore;north_varsk_sea;8907;7555;x
logunar;skallor_sea;8674;7565;x
muryat;azar_coast;7462;7538;x
kilhorn;skallor_sea;8758;7555;x
unnamed_location_119;northern_thark_coast;13614;7514;x
emtar;paldan_strait;8214;7536;x
reyknor;skallor_sea;8714;7535;x
east_hallsey;south_varsk_sea;8814;7521;x
lisspa;glacier_strait;8165;7528;x
varhall;storming_sea;8656;7514;x
bernstone;north_rekkryan_coast;8524;7522;x
lindby;north_rekkryan_coast;8559;7538;x
uqaruq;north_varsk_sea;8878;7539;x
chauy;battered_coast;12012;7522;x
storms_point;storming_sea;8603;7509;x
west_hallsey;skallor_sea;8735;7518;x
bone_coast;north_rekkryan_coast;8497;7507;x
milak;azar_coast;7436;7515;x
drengey;southern_sea_of_whales;9091;7504;x
asshen;ice_river_bay;8229;7498;x
nakaito;upper_mountain_coast;10729;7493;x
shest;ice_river_bay;8195;7509;x
hallenheim;south_varsk_sea;8801;7490;x
unnamed_location_158;vul_coast;14146;7429;x
selluin;ice_river_bay;8226;7496;x
boldhar;azar_coast;7408;7485;x
ulurskellnyr;south_varsk_sea;8742;7476;x
northel;north_rekkryan_coast;8468;7475;x
eper;white_lake;8300;7487;x
ice_river;white_lake;8291;7484;x
kawtamu;battered_coast;12017;7433;x
unnamed_location_129;northern_thark_coast;13618;7442;x
yjoll_isles;storming_sea;8668;7462;x
lorvik;south_varsk_sea;8769;7456;x
dernehborg;azar_coast;7412;7449;x
torvas;north_rekkryan_coast;8446;7448;x
selke;south_varsk_sea;8723;7449;x
uthrenland;storming_sea;8702;7426;x
varun;south_varsk_sea;8764;7426;x
kiirogh;tagad_coast;7369;7410;x
rasland;south_rekkyran_coast;8443;7416;x
serpent_isle;skaborjum_sea;8542;7417;x
ichi;mountain_coast;10776;7412;x
kyato_u;battered_coast;11941;7375;x
unnamed_location_128;southern_thark_coast;13692;7375;x
northeim;tjalle_sea;8737;7397;x
mudrson_isle;south_rekkyran_coast;8449;7395;x
tormund;south_rekkyran_coast;8433;7385;x
host;skaborjum_sea;8703;7391;x
unnamed_location_155;vul_coast;14122;7359;x
mraayan;battered_coast;11880;7358;x
nishi;mountain_coast;10782;7359;x
unnamed_location_127;southern_thark_coast;13722;7325;x
big_rock;skaborjum_sea;8644;7357;x
seastone;skaborjum_sea;8697;7365;x
obiyon;tagad_coast;7373;7357;x
shandalai;battered_coast;12142;7372;x
hjalvheim;south_rekkyran_coast;8446;7349;x
kensu;battered_coast;12252;7357;x
skerten;skaborjum_sea;8606;7347;x
nufhjav;skaborjum_sea;8577;7344;x
pya_u;battered_coast;12025;7336;x
malkast;skaborjum_sea;8559;7344;x
salingwe;battered_coast;12328;7325;x
little_rock;south_rekkyran_coast;8507;7336;x
iskafjord;skaborjum_sea;8638;7337;x
amata;mountain_coast;10793;7295;x
hreimgild;eirmunds_pass;9106;7334;x
kynshelm;tjalle_sea;8785;7323;x
damant;tagad_coast;7374;7328;x
dagholm;jarlgraf_bay;8442;7296;x
milvrik;the_blue_bay;9054;7293;x
seraz;shield_channel;7346;7304;x
merstrond;south_rekkyran_coast;8513;7308;x
kyak;battered_coast;11867;7295;x
ysa;skaborjum_sea;8663;7308;x
sundborg;tjalle_sea;8726;7308;x
enoc_torse;saelic_coast;8956;7305;x
tanvik;tjalle_sea;8841;7307;x
riohme;saelic_coast;8884;7292;x
heterland;jarlgraf_bay;8469;7301;x
trejaslo;skaborjum_sea;8675;7303;x
hlorma;saelic_coast;8911;7292;x
unnamed_location_126;southern_thark_coast;13798;7254;x
kypaudu;battered_coast;12396;7291;x
lugd;fishlake;7657;7298;x
gildhaven;gildic_coast;9128;7275;x
thadon;battered_coast;11928;7279;x
murkta;fishlake;7643;7291;x
ata_ukash;fishlake;7666;7293;x
unnamed_location_154;southpoint_ridge;14129;7227;x
kuning;heron_lake;8750;7282;x
mountain_shore;fishlake;7657;7280;x
othenheim;tjalle_sea;8699;7291;x
shal_ragraz;shield_channel;7343;7257;x
altmund;jarlgraf_bay;8397;7280;x
selc_marsh;the_blue_bay;8991;7275;x
sulus;fishlake;7634;7279;x
jofur;jarlgraf_bay;8456;7265;x
duoloch_hills;whale_coast;9640;7282;x
whale_island;troubled_sea;9850;7275;x
dawlay;battered_coast;12536;7265;x
south_heron;heron_lake;8735;7275;x
kyentong;battered_coast;12456;7276;x
sturing;jarlgraf_bay;8387;7269;x
in_udny;south_fish_banks;9465;7263;x
karobu;mountain_coast;10805;7251;x
kingcahst;north_ywekan_sea;9685;7223;x
westoc;north_ywekan_sea;9615;7231;x
magthagaing;battered_coast;12630;7241;x
aer;gildic_coast;9139;7239;x
shores;the_blue_bay;9046;7242;x
sixja;jarlgraf_bay;8392;7246;x
diobhan;lake_seol;8940;7241;x
selse;the_blue_bay;9000;7246;x
teddek;shield_channel;7378;7254;x
navka;shield_channel;7415;7253;x
bishkol;shield_channel;7422;7234;x
nidrborg;shield_channel;7331;7247;x
shieldpeak;shield_channel;7386;7247;x
tagocs;lake_aglaug;8901;7249;x
keiarn_isles;north_ywekan_sea;9726;7228;x
karamin;shield_channel;7455;7245;x
uzgul;shield_channel;7461;7245;x
nashde;shield_channel;7439;7238;x
torben;jarlgraf_bay;8438;7239;x
ardenchills;north_ywekan_sea;9646;7233;x
trereborg;tredic_coast;7276;7210;x
taselc;the_blue_bay;9016;7231;x
unnamed_location_124;southern_thark_coast;13858;7209;x
forderen;jarlgraf_bay;8398;7228;x
inumayo;mountain_coast;10836;7193;x
occhol;orkal_straight;7353;7186;x
kyzd;shield_channel;7392;7229;x
neaendh;lake_seol;8936;7225;x
nukk;lake_seol;8977;7227;x
mundren;jarlgraf_bay;8409;7225;x
galmer;jarlgraf_bay;8423;7227;x
toudh_isles;north_ywekan_sea;9620;7208;x
abrunanach;lake_seol;8957;7221;x
unnamed_location_125;southern_thark_coast;13734;7200;x
morrows;gildic_coast;9123;7202;x
kojh_island;first_sea;9396;7196;x
unnamed_location_153;southpoint_ridge;14083;7166;x
ganara;gukar_gulf;7495;7200;x
adrak;gukar_gulf;7453;7196;x
myngok;western_emean_coast;12712;7155;x
unnamed_location_132;southern_thark_coast;13903;7187;x
kekbat;gukar_gulf;7529;7178;x
uvlord;orkal_straight;7397;7184;x
nashak;tredic_coast;7257;7172;x
unnamed_location_133;southern_thark_coast;13877;7149;x
aidken;orkal_straight;7315;7168;x
vul;black_coast;9134;7165;x
kilrock;south_ywekan_sea;9751;7116;x
jomi;gukar_gulf;7445;7171;x
first_isle;black_coast;9222;7164;x
unnamed_location_149;southpoint_ridge;14120;7110;x
gorsk;gukar_gulf;7557;7154;x
yatome;mountain_coast;10832;7147;x
grimshore;gukar_gulf;7490;7164;x
kutsasikhe;orkal_straight;7388;7157;x
dmoni;orkal_straight;7285;7136;x
ilkshire;black_coast;9147;7139;x
dushtsaq;orkal_straight;7342;7147;x
jeomarn;gukar_gulf;7510;7125;x
umludened;gukar_gulf;7560;7114;x
yanyeii;western_emean_coast;12648;7101;x
oberton_isles;rockpoints;9934;7112;x
unnamed_location_134;southern_thark_coast;13849;7104;x
northmouth;black_bay;9138;7096;x
daiju;mountain_coast;10821;7084;x
chisa;gukar_gulf;7542;7103;x
iravi;goblin_cape;7234;7106;x
unnamed_location_151;southpoint_ridge;14069;7076;x
dati;goblin_cape;7196;7091;x
khash;gukar_gulf;7542;7086;x
darshire;north_bottean;9541;7085;x
calestone;black_bay;9085;7084;x
breakers_point;bay_of_botte;9615;7036;x
yorwikke;black_bay;9071;7061;x
onvili;goblin_cape;7175;7072;x
upper_mei;western_emean_coast;12654;7020;x
kopper_hills;ijeals_channel;9467;7046;x
waterpoint;shekhaji_coast;7145;7043;x
eldershire;black_bay;9139;7059;x
unnamed_location_135;southern_thark_coast;13859;7040;x
blackhorse;black_bay;9069;7039;x
unnamed_location_150;southpoint_ridge;14053;7000;x
unnamed_location_148;southpoint_ridge;14130;7018;x
cottleshores;black_bay;9096;7033;x
bucheon;lower_mountain_coast;10822;7015;x
doak;bay_of_botte;9574;7017;x
fishpoint;cape_of_the_old_rock;9274;7024;x
ywellke;bay_of_botte;9558;7014;x
tsbani;shekhaji_coast;7141;7014;x
corath;ijeals_channel;9321;7005;x
unnamed_location_136;southern_thark_coast;13871;6998;x
rocks_above;south_bottean;9510;6979;x
traitors_isle;ragged_coast;9992;6968;x
cegwend;briltan_coast;9151;6991;x
keymartin;south_ywekan_sea;9808;6996;x
gowon;lower_mountain_coast;10875;6992;x
bleakpoint;dranic_coast;7161;6983;x
edinsbern;gull_sea;9278;6957;x
cheonju;lower_mountain_coast;10933;6954;x
yoren;lake_oren;9038;6977;x
eastbridge;lake_oren;9046;6966;x
unnamed_location_137;southern_thark_coast;13884;6964;x
unnamed_location_147;southpoint_ridge;14076;6944;x
fester;dranic_coast;7166;6950;x
west_oren;lake_oren;9016;6959;x
whitefield;briltan_coast;9145;6952;x
taungo;western_emean_coast;12629;6899;x
ulstanshire;south_bottean;9542;6952;x
unnamed_location_139;southern_thark_coast;13891;6873;x
unnamed_location_146;southpoint_ridge;14034;6869;x
newcorpse;bay_of_botte;9608;6932;x
poachers_isle;ragged_coast;9909;6924;x
orenheim;lake_oren;9040;6935;x
south_oren;lake_oren;9022;6939;x
myles;briltan_coast;9149;6924;x
westrim;dranic_coast;7174;6902;x
lagh_omhaill;ragged_sea;10018;6884;x
gimtaek;lower_mountain_coast;10910;6889;x
estshire;south_bottean;9541;6893;x
lagh_balan;ragged_coast;9961;6892;x
telgar;molten_lake;7292;6908;x
molt;molten_lake;7282;6905;x
southrocks;south_bottean;9587;6903;x
karkow;coast_of_avan;9121;6894;x
herring_isle;herring_sea;9788;6888;x
ras_tir;molten_lake;7290;6898;x
lower_telas;scraw_lake;7349;6893;x
balyndar;molten_lake;7286;6898;x
sabassa;scraw_lake;7345;6891;x
kelas_tell_vinir;scraw_lake;7380;6882;x
shank;scraw_lake;7376;6882;x
ballan;coast_of_avan;9104;6873;x
wyvern_harbour;north_dragons_coast;7202;6877;x
lagh_akrunac;rallands_water;9866;6845;x
ranrak;north_dragons_coast;7183;6857;x
solstire_end;coast_of_avan;9081;6867;x
shacktown;coast_of_avan;9089;6850;x
pyeonang;lower_mountain_coast;10866;6845;x
lagh_doubhanill;herring_sea;9781;6854;x
sinchon;silent_current;10319;6822;x
lower_mei;western_emean_coast;12575;6812;x
hellsand;north_dragons_coast;7191;6819;x
lindow;coast_of_avan;9097;6822;x
sihejeon;lower_mountain_coast;10815;6821;x
metalaver;north_dragons_coast;7233;6822;x
scorn;north_dragons_coast;7244;6812;x
drethen;varalin_lake;7397;6824;x
collara;varalin_lake;7403;6808;x
unnamed_location_141;southpoint_ridge;13988;6765;x
rudrin;varalin_lake;7390;6806;x
varavan;north_dragons_coast;7261;6812;x
lagh_tuo;uddon_sea;9808;6790;x
blackrose;varalin_lake;7400;6807;x
hampo;lower_mountain_coast;10643;6784;x
gyum_bera;north_dragons_coast;7234;6796;x
whelby;coast_of_avan;9112;6787;x
hallick_ralland;rallands_water;9955;6774;x
esmere;varalin_lake;7397;6787;x
zelen;lake_niev;8190;6782;x
daesan;lower_mountain_coast;10792;6738;x
tenyll;north_dragons_coast;7221;6771;x
coldshore;western_emean_coast;12591;6757;x
nievosov;lake_niev;8195;6758;x
hwaseng;lower_mountain_coast;10653;6736;x
debbes;coast_of_avan;9133;6755;x
hezhou;north_palatial_coast;11261;6758;x
anchuan;north_palatial_coast;11296;6753;x
akhtadza;south_dragons_coast;7253;6751;x
seojin;lower_mountain_coast;10976;6754;x
anyeoju;lower_mountain_coast;10933;6729;x
burning_shore;south_dragons_coast;7290;6749;x
kimchaen;north_palatial_coast;11217;6719;x
uva_shei;western_emean_coast;12702;6727;x
kapara;south_dragons_coast;7307;6744;x
gyum_yegh;south_dragons_coast;7296;6735;x
kanggok;lower_mountain_coast;10958;6707;x
zuxian;north_palatial_coast;11297;6684;x
unnamed_location_142;southpoint_ridge;13935;6696;x
trader_isles;west_trader_sea;9314;6715;x
unnamed_location_143;southern_thark_coast;13715;6691;x
dragonshore;south_dragons_coast;7275;6707;x
kalren;north_tradeshore;9112;6710;x
flagpeak;north_tradeshore;9097;6693;x
seosan;lower_mountain_coast;10856;6677;x
masjavan;south_dragons_coast;7244;6693;x
lower_lovash;south_dragons_coast;7270;6680;x
faction_point;north_tradeshore;9090;6682;x
tonsul;north_palatial_coast;11185;6663;x
perlton;north_tradeshore;9100;6667;x
as_zhei;western_emean_coast;12725;6622;x
andeon;lower_mountain_coast;11000;6642;x
arar_isthmus;straight_of_daggers;7240;6642;x
gyum_pash;straight_of_daggers;7226;6637;x
shijichun;north_palatial_coast;11346;6634;x
ember;ember_lake;7361;6651;x
sayel;north_tradeshore;9107;6641;x
unnamed_location_144;southern_thark_coast;13507;6585;x
cheongju;north_palatial_coast;11086;6637;x
gunam;north_palatial_coast;11138;6613;x
elvos;bluewaters;7335;6607;x
west_trinning;straight_of_daggers;7278;6623;x
pickets;north_tradeshore;9091;6624;x
taria;straight_of_daggers;7311;6624;x
under_pickets;north_tradeshore;9104;6619;x
fuxi;north_palatial_coast;11355;6564;x
east_trinning;bluewaters;7369;6590;x
shipwreck_archipelago;sea_of_shipwrecks;9318;6577;x
old_shaaz;south_tradeshore;9118;6591;x
aldor;lake_oden;8503;6592;x
dove_hills;lake_oden;8478;6581;x
northdocks;straight_of_daggers;7194;6582;x
almorr;bluewaters;7394;6580;x
wheldeross;south_tradeshore;9109;6569;x
kelpmarsh;bluewaters;7421;6575;x
unnamed_location_145;cape_of_recompense;13453;6527;x
seawatch;uldar_sea;7142;6554;x
tire;straight_of_daggers;7234;6569;x
ebbwater;bluewaters;7439;6569;x
negetta;lake_oden;8502;6558;x
farwind_isles;east_farwind_sea;9777;6542;x
auorside;lake_auor;8329;6552;x
uthin;straight_of_daggers;7264;6568;x
elvenwoods;lake_oden;8479;6551;x
tiowen;bluewaters;7301;6562;x
daira;misty_sea;7472;6553;x
moxan_vexis;western_emean_coast;12806;6536;x
muinste;bluewaters;7330;6560;x
belverdale;south_tradeshore;9096;6549;x
churuz;western_emean_coast;12744;6555;x
uwen;bluewaters;7355;6553;x
belsen;south_tradeshore;9132;6546;x
lhabei;north_palatial_coast;11398;6525;x
sinswain;bluewaters;7392;6543;x
cothhan;misty_sea;7501;6540;x
amere;uldar_sea;7126;6528;x
arrynal;south_tradeshore;9089;6529;x
north_reywith;misty_sea;7454;6501;x
gyrrmun;misty_sea;7529;6521;x
northern_islets;misty_sea;7503;6498;x
welding;south_tradeshore;9106;6514;x
pinzhuang;north_palatial_coast;11420;6499;x
udanhet;misty_sea;7557;6506;x
utfal;uldar_sea;7103;6501;x
westlake;emerald_lake;8409;6499;x
cliffers_rock;south_tradeshore;9131;6501;x
eleon;emerald_lake;8382;6497;x
ano_tux;western_emean_coast;12883;6488;x
garak_ja;sylten_coast;7571;6484;x
jaelis;sunrise_sea;7077;6470;x
gandalur;emerald_lake;8384;6476;x
great_bird_island;seagull_cape;9213;6476;x
milton_keyns;seagull_cape;9160;6466;x
yulin;north_palatial_coast;11431;6463;x
upper_peels;peel_sea;9369;6455;x
sapphire;sajental_sea;7516;6432;x
kaisil_coast;sajental_sea;7470;6430;x
shellfire;sylten_coast;7586;6459;x
threin;lake_divithne;8336;6457;x
bridgeport;sunrise_sea;7058;6440;x
sece;crescent_lake;7344;6448;x
seagull_harbour;seagull_cape;9148;6447;x
liuning;north_palatial_coast;11401;6430;x
sylt;sylten_coast;7599;6433;x
llandar;lake_divithne;8344;6435;x
gioze;cape_of_recompense;13007;6387;x
oakenrest;crescent_lake;7346;6429;x
vaalwood;lake_divithne;8334;6431;x
wheaton;seagull_cape;9138;6409;x
greysand;sunrise_sea;7039;6410;x
ul_sudd;sylten_coast;7589;6415;x
dreygoz;sajental_sea;7502;6402;x
kaitong;north_palatial_coast;11356;6394;x
lissht;sajental_sea;7445;6374;x
pearl;sylten_coast;7577;6395;x
jeii;lake_ija;7695;6403;x
jedei_purash;lake_ija;7710;6401;x
dawn;aethoin_sea;7017;6366;x
herstonshores;seagull_cape;9110;6381;x
lower_peels;oots_waters;9475;6374;x
gokun;lake_ija;7699;6392;x
changhou;north_palatial_coast;11294;6327;x
southern_islets;sajental_sea;7478;6359;x
vek_tanal;coast_of_gozma_deii;7576;6354;x
murlocke;murlocke_lake;8738;6354;x
tekkers_heights;seagull_cape;9196;6373;x
eastlocke;murlocke_lake;8785;6352;x
alas;aethoin_sea;7040;6338;x
gil_kal_kur;sajental_sea;7385;6341;x
kaaveling;coast_of_brongs;9133;6335;x
ithoduin;aethoin_sea;7006;6310;x
south_tekker;coast_of_brongs;9224;6293;x
deaths_grasp;ninth_bay;12792;6331;x
vek_farj;coast_of_gozma_deii;7573;6333;x
ano_bei;ninth_bay;12891;6293;x
gozma;coast_of_gozma_deii;7557;6325;x
five_towers;anowen_sea;6959;6308;x
lejtal;coast_of_gozma_deii;7518;6322;x
yesermin;gildur_narrows;7338;6311;x
searise_isle;anowen_sea;6929;6300;x
iraak;ninth_bay;12763;6242;x
nirnas;aethoin_sea;7069;6307;x
guangzho;north_palatial_coast;11321;6294;x
chambot;murlocke_lake;8806;6297;x
lakerest;murlocke_lake;8749;6303;x
othryss;coast_of_gozma_deii;7478;6302;x
southern_ellain;anowen_sea;6965;6269;x
schipje;coast_of_brongs;9155;6284;x
skaross;emean_gulf;12530;6280;x
east_skeletal_shore;emean_gulf;12616;6266;x
nur_falswe;gildur_narrows;7294;6278;x
valion;aethoin_sea;7103;6285;x
lakash;coast_of_gozma_deii;7442;6280;x
ukrath;emean_gulf;12270;6264;x
tyosse;murlocke_lake;8785;6264;x
leijang;north_palatial_coast;11298;6261;x
firegold;doth_pass;7171;6262;x
dafur;coast_of_gozma_deii;7422;6256;x
west_skeletal_shore;emean_gulf;12425;6235;x
southpeak;gildur_narrows;7256;6242;x
maocho;north_palatial_coast;11272;6223;x
arham;mitten_coast;9123;6237;x
kraun;emean_gulf;12246;6218;x
jumzi;emean_gulf;12300;6203;x
dothrin_coast;doth_pass;7214;6239;x
kurthic_shore;gildur_narrows;7373;6234;x
beer_hills;gulf_of_noth;9025;6242;x
kaperin;gulf_of_noth;9009;6234;x
glaswijk;gulf_of_noth;9059;6233;x
knights_landing;gulf_of_noth;8979;6231;x
suld_border;gildur_narrows;7319;6220;x
nothan;gulf_of_noth;8974;6211;x
north_kanata;doth_pass;7189;6205;x
hagana_coast;gildur_narrows;7280;6203;x
cliffpoint;gulf_of_noth;9038;6208;x
lamalie;gulf_of_noth;8989;6205;x
shoonwhe;gildur_narrows;7255;6192;x
outelles;mitten_coast;9123;6186;x
intermitte;mitten_coast;9179;6182;x
naarth;mitten_coast;9235;6186;x
surdoux;gulf_of_noth;9064;6177;x
hongua;north_palatial_coast;11323;6143;x
vihonorom;emean_gulf;12214;6155;x
upper_sprucewood;spruce_coast;9285;6154;x
ahse;sgaw_sea;7167;6115;x
macashan;north_palatial_coast;11384;6149;x
maoxong;north_palatial_coast;11443;6140;x
querrol;spruce_coast;9304;6109;x
sihanste;emean_gulf;12184;6080;x
sishing;north_palatial_coast;11455;6095;x
meaucy;sellaine_bay;9124;6111;x
sellaine;sellaine_bay;9083;6105;x
saire;sgaw_sea;7094;6105;x
overpool;sisters_channel;9189;6099;x
upper_sgaw;sgaw_sea;7192;6081;x
setcaire;sisters_channel;9216;6076;x
lessez_u_iht;spruce_lake;9272;6080;x
qorraine;sellaine_bay;9123;6066;x
thalie;sellaine_bay;9087;6068;x
sorraine;spruce_coast;9326;6078;x
mourdeaux;sisters_channel;9182;6063;x
foshomen;north_palatial_coast;11496;6028;x
este_dvir;emean_gulf;12185;6041;x
central_sgaw;sgaw_sea;7197;6035;x
seaview;seaview_cape;9323;6032;x
three_sisters;sisters_channel;9204;6042;x
orlone;sisters_channel;9230;6042;x
kampur_pur;emean_gulf;12131;6035;x
seanie;hammer_sound;9008;6055;x
umbridge;frell_strait;9052;6015;x
nightshore;hammer_sound;8961;6033;x
chboun;emean_gulf;12153;6022;x
botlorn;hammer_sound;8954;6016;x
ellerham;seaview_cape;9277;6010;x
chagow;north_palatial_coast;11563;5970;x
ilama_sgaru;peril_sea;7221;5954;x
kallok_and_perils;peril_sea;7135;5944;x
chait;emean_gulf;12139;5962;x
este_vilum;emean_gulf;12184;5962;x
frells_ring;frell_strait;9084;5989;x
greyport;hammer_sound;8961;5982;x
avieu;hammer_sound;9024;5972;x
aparesin;lorre_coast;9164;5954;x
este_prang;emean_gulf;12205;5957;x
knights_mouth;coast_of_dales;8969;5943;x
mor_fil_erriac;lorre_coast;9263;5938;x
elan_chambris;edess_lagoon;9084;5939;x
wehon;peril_sea;7251;5931;x
lorre;lorre_coast;9234;5929;x
heangrie;edess_lagoon;9070;5920;x
north_wild_lake;wild_lake;8489;5938;x
south_wild_lake;wild_lake;8506;5917;x
kampong;emean_gulf;12176;5916;x
kamlung;emean_gulf;12232;5904;x
essing;wild_lake;8473;5919;x
maeson;north_palatial_coast;11524;5914;x
north_zahlitz;zahlitz_lake;8707;5926;x
lower_aating;zahlitz_lake;8698;5927;x
senigal;elder_lake;9168;5911;x
erpfad;zahlitz_lake;8699;5922;x
krat;emean_gulf;12147;5894;x
euwex;coast_of_dales;8952;5902;x
south_zahlitz;zahlitz_lake;8704;5919;x
