# EU5 BASE GAME - POPULATION BY AREA
# Reference only. Generated from the vanilla install:
#   game/main_menu/setup/start/06_pops.txt  +  game/in_game/map_data/definitions.txt
#
# Values are THOUSANDS of people (the EU5 'size' unit). World total 393896k = 394 million,
# against a real 1337 Earth population of roughly 400 million.
#
# 650 areas, 20794 locations with population.
# area pop     : min 0.2  p25 62  median 272  p75 647  max 13077   (max/median 48.0x)
# area avg/loc : min 0.04  median 10.2  max 242.7
#
# Grouped continent > subcontinent > region > area, in definitions.txt order.
# Areas within a region are sorted by population, largest first.


#######################################################################################################################
#  EUROPE  -  78582k  (19.9% of world, 184 areas, 5279 locations, 14.9 avg/loc)
#######################################################################################################################

#==================================================================================================================
#  WESTERN EUROPE  -  55755k  (14.2% of world, 104 areas, 2763 locations)
#==================================================================================================================
I
#  --- Scandinavian region  -  1915k  (10 areas, 462 locations, 4.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   lesser_poland_area                      670    40     16.8  continental   woods
   prussia_area                            464    44     10.5  continental   woods
   lithuania_area                          396    43      9.2  continental   forest
   mazovia_area                            390    33     11.8  continental   forest
   central_poland_area                     313    23     13.6  continental   woods
   greater_poland_area                     304    35      8.7  continental   woods
   baltic_area                             298    56      5.3  continental   woods
   samogitia_area                          133    16      8.3  continental   woods

#  --- Ruthenia region  -  2803k  (9 areas, 306 locations, 9.2 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   white_ruthenia_area                     459    56      8.2  continental   woods
   severia_area                            453    39     11.6  continental   woods
   red_ruthenia_area                       422    36     11.7  continental   forest
   right_bank_ukraine_area                 419    39     10.7  continental   woods
   volhynia_area                           307    30     10.2  continental   woods
   black_ruthenia_area                     253    39      6.5  continental   forest
   left_bank_ukraine_area                  208    23      9.1  continental   woods
   podolia_area                            155    25      6.2  continental   forest
   polesia_area                            127    19      6.7  continental   forest

#  --- Caucasus region  -  1928k  (5 areas, 179 locations, 10.8 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   georgia_area                            680    49     13.9  continental   forest
   armenian_highlands_area                 560    45     12.4  continental   sparse
   shirvan_area                            370    30     12.3  cold_arid     sparse
   armenia_area                            184    25      7.4  continental   grasslands
   northern_caucasus_area                  135    30      4.5  continental   woods

#  --- Steppes region  -  1399k  (12 areas, 318 locations, 4.4 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   lower_don_area                          220    42      5.2  continental   grasslands
   kursk_area                              202    31      6.5  continental   grasslands
   astrakhan_area                          146    37      3.9  cold_arid     grasslands
   matrega_area                            130    25      5.2  continental   grasslands
   lower_yik_area                          118    33      3.6  cold_arid     sparse
   sloboda_ukraine_area                    114    22      5.2  continental   grasslands
   zaporizhzhia_area                       101    22      4.6  continental   grasslands
   azov_area                                91    28      3.3  continental   grasslands
   majar_area                               79    25      3.2  cold_arid     grasslands
   yedisan_area                             75    22      3.4  cold_arid     grasslands
   pryazovia_area                           62    17      3.7  continental   grasslands
   crimea_area                              60    14      4.3  cold_arid     grasslands

#  --- Russian region  -  3440k  (17 areas, 560 locations, 6.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   ryazan_area                             388    45      8.6  continental   woods
   smolensk_area                           331    46      7.2  continental   woods
   oka_area                                329    35      9.4  continental   woods
   samara_area                             289    43      6.7  continental   woods
   moscow_area                             287    24     11.9  continental   woods
   tambov_area                             270    41      6.6  continental   grasslands
   tver_area                               222    23      9.7  continental   woods
   nizhny_novgorod_area                    215    31      6.9  continental   forest
   yaroslavl_area                          210    24      8.8  continental   forest
   vladimir_area                           198    20      9.9  continental   woods
   west_novgorod_area                      166    51      3.3  continental   woods
   east_novgorod_area                      164    49      3.4  continental   woods
   beloozero_area                          112    33      3.4  arctic        forest
   suzdal_area                             105    11      9.6  continental   forest
   totma_area                               79    29      2.7  arctic        forest
   arkhangelsk_area                         39    25      1.6  arctic        forest
   pomorye_area                             34    30      1.1  arctic        forest

#  --- Ural region  -  1073k  (9 areas, 194 locations, 5.5 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   kazan_area                              257    30      8.6  continental   forest
   bolghar_area                            157    21      7.5  continental   grasslands
   ural_area                               155    31      5.0  arctic        forest
   bashkiria_area                          124    26      4.8  continental   woods
   vyatka_area                             114    18      6.4  arctic        forest
   perm_area                               103    27      3.8  continental   forest
   ust_sysola_area                          90    17      5.3  arctic        forest
   karagay_area                             50    15      3.3  arctic        forest
   vorkuta_area                             22     9      2.5  arctic        forest

#  --- Balkan region  -  4730k  (12 areas, 359 locations, 13.2 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   thrace_area                             708    45     15.7  subtropical   grasslands
   bulgaria_area                           683    48     14.2  continental   woods
   serbia_area                             623    40     15.6  continental   woods
   macedonia_area                          531    39     13.6  cold_arid     woods
   northern_greece_area                    510    32     15.9  mediterranean forest
   bosnia_area                             415    28     14.8  continental   woods
   slavonia_area                           382    18     21.2  continental   grasslands
   albania_area                            218    19     11.5  mediterranean woods
   morea_area                              179    25      7.1  mediterranean woods
   croatia_area                            178    22      8.1  oceanic       woods
   slovenia_area                           161    12     13.4  continental   forest
   aegean_archipelago_area                 143    31      4.6  mediterranean sparse

#######################################################################################################################
#  ASIA  -  240301k  (61.0% of world, 195 areas, 7918 locations, 30.3 avg/loc)
#######################################################################################################################

#==================================================================================================================
#  CENTRAL ASIA  -  3787k  (1.0% of world, 7 areas, 417 locations)
#==================================================================================================================

#  --- Khorasan region  -  3787k  (7 areas, 417 locations, 9.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   transoxiana_area                       1730    96     18.0  cold_arid     sparse
   eastern_khorasan_area                   465    48      9.7  cold_arid     sparse
   zhetysu_area                            403    70      5.8  cold_arid     grasslands
   badakhshan_area                         338    38      8.9  cold_arid     sparse
   desht_kipchak_area                      301    85      3.5  cold_arid     grasslands
   western_khorasan_area                   278    48      5.8  cold_arid     sparse
   khwarazm_area                           274    32      8.6  cold_arid     sparse

#==================================================================================================================
#  MIDDLE EAST  -  18808k  (4.8% of world, 26 areas, 1262 locations)
#==================================================================================================================

#  --- Anatolia region  -  5371k  (6 areas, 258 locations, 20.8 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   marmara_area                           1066    39     27.3  mediterranean forest
   west_anatolia_area                      984    48     20.5  mediterranean forest
   pontus_area                             967    36     26.9  oceanic       forest
   cappadocia_area                         959    48     20.0  cold_arid     woods
   cilicia_area                            786    37     21.2  mediterranean grasslands
   central_anatolia_area                   609    50     12.2  cold_arid     sparse

#  --- Crescent region  -  3739k  (3 areas, 174 locations, 21.5 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   levant_area                            2034    72     28.2  mediterranean sparse
   jazira_area                             876    48     18.3  mediterranean sparse
   iraq_arabi_area                         829    54     15.4  arid          sparse

#  --- Arabia region  -  5674k  (7 areas, 351 locations, 16.2 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   south_yemen_area                       1965    63     31.2  arid          desert
   north_yemen_area                       1230    51     24.1  arid          desert
   najd_area                               879    67     13.1  arid          desert
   hedjaz_area                             721    79      9.1  arid          desert
   bahrein_area                            474    32     14.8  arid          desert
   oman_area                               219    29      7.6  arid          desert
   hail_area                               186    30      6.2  arid          desert

#  --- Persia region  -  4025k  (10 areas, 479 locations, 8.4 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   sistan_area                             923    54     17.1  arid          desert
   iraq_ajam_area                          838    65     12.9  cold_arid     desert
   mazandaran_area                         526    36     14.6  cold_arid     forest
   azerbaijan_area                         437    39     11.2  cold_arid     sparse
   khuzestan_area                          278    39      7.1  mediterranean sparse
   baluchistan_area                        275    61      4.5  arid          desert
   fars_area                               261    78      3.3  arid          desert
   kordestan_area                          254    26      9.8  continental   sparse
   kerman_area                             121    48      2.5  arid          desert
   quhestan_area                           112    33      3.4  cold_arid     desert

#==================================================================================================================
#  EAST ASIA  -  105393k  (26.8% of world, 75 areas, 3121 locations)
#==================================================================================================================

#  --- East China region  -  48026k  (10 areas, 525 locations, 91.5 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   zhejiang_area                         13077    64    204.3  subtropical   woods
   jiangnan_area                         11165    46    242.7  subtropical   farmland
   jiangxi_area                           9166    79    116.0  subtropical   forest
   fujian_area                            4241    56     75.7  subtropical   forest
   hubei_area                             2547    80     31.8  subtropical   grasslands
   huaidong_area                          2449    32     76.5  subtropical   grasslands
   hunan_area                             2026    57     35.6  subtropical   grasslands
   huaixi_area                            1815    48     37.8  subtropical   grasslands
   wuling_area                            1370    40     34.3  subtropical   forest
   taiwan_area                             169    23      7.3  subtropical   forest

#  --- Japan region  -  9952k  (11 areas, 417 locations, 23.9 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   toukaidou_area                         2209    57     38.7  subtropical   grasslands
   ou_area                                1532    61     25.1  continental   woods
   saikaidou_area                         1277    55     23.2  subtropical   woods
   tousandou_area                         1109    41     27.1  subtropical   woods
   sanyoudou_area                          996    35     28.5  subtropical   woods
   nankaidou_area                          801    29     27.6  subtropical   forest
   hokurikudou_area                        679    26     26.1  subtropical   woods
   sanindou_area                           608    25     24.3  subtropical   forest
   kinai_area                              577     9     64.1  subtropical   farmland
   ryuukyuu_area                           144     8     17.9  subtropical   forest
   ezo_area                                 20    71      0.3  continental   forest

#  --- Korea region  -  2953k  (8 areas, 150 locations, 19.7 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   yeongnam_area                           582    27     21.6  continental   woods
   gwanseo_area                            511    21     24.3  continental   forest
   gyeonggi_area                           423    11     38.4  continental   woods
   gwanbuk_area                            418    18     23.2  continental   forest
   honam_area                              340    22     15.5  continental   grasslands
   hoseo_area                              269    16     16.8  continental   woods
   haeseo_area                             211    14     15.1  continental   woods
   gwandong_area                           199    21      9.5  continental   forest

#  --- Manchuria region  -  3669k  (6 areas, 223 locations, 16.5 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   liaodong_area                          1222    33     37.0  continental   grasslands
   songnen_area                           1033    33     31.3  continental   grasslands
   songhua_area                           1023    32     32.0  continental   grasslands
   ussuri_area                             168    32      5.3  continental   forest
   middle_amur_area                        140    50      2.8  continental   woods
   lower_amur_area                          83    43      1.9  continental   woods

#  --- Mongolia region  -  1938k  (9 areas, 213 locations, 9.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   eastern_gobi_area                       513    35     14.7  cold_arid     grasslands
   argun_area                              376    30     12.5  continental   grasslands
   upper_selenga_area                      222    23      9.7  continental   grasslands
   mongolian_great_lakes_area              196    21      9.3  cold_arid     sparse
   shilkari_area                           192    24      8.0  continental   grasslands
   lower_selenga_area                      160    21      7.6  continental   woods
   western_gobi_area                       120    32      3.7  cold_arid     desert
   tuva_area                                99    11      9.0  continental   forest
   southern_gobi_area                       60    16      3.8  cold_arid     desert

#  --- North China region  -  21736k  (9 areas, 522 locations, 41.6 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   haiyou_area                            4977    40    124.4  continental   grasslands
   shanxi_area                            3748    92     40.7  continental   woods
   henan_area                             3413    97     35.2  subtropical   grasslands
   shandong_area                          3309    73     45.3  continental   grasslands
   yannan_area                            2318    66     35.1  cold_arid     grasslands
   hebei_area                             1369    34     40.3  cold_arid     grasslands
   beiping_area                           1246    48     26.0  continental   grasslands
   datong_area                             886    36     24.6  cold_arid     grasslands
   yanbei_area                             470    36     13.0  continental   woods

#  --- South China region  -  8301k  (7 areas, 419 locations, 19.8 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   guangdong_area                         3106    70     44.4  subtropical   woods
   guangxi_area                           1485    50     29.7  subtropical   forest
   haibei_hainan_area                     1279    33     38.8  subtropical   woods
   yunnan_area                             679    79      8.6  subtropical   woods
   guizhou_area                            652    74      8.8  subtropical   woods
   liangjiang_area                         647    53     12.2  subtropical   forest
   dali_area                               453    60      7.6  continental   forest

#  --- Tibet region  -  1369k  (6 areas, 204 locations, 6.7 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   kham_area                               728    75      9.7  continental   sparse
   ngari_area                              202    38      5.3  cold_arid     desert
   amdo_area                               198    38      5.2  arctic        sparse
   u_area                                  146    28      5.2  continental   sparse
   tsang_area                               79    18      4.4  continental   sparse
   changtang_area                           15     7      2.1  arctic        sparse

#  --- West China region  -  6790k  (7 areas, 363 locations, 18.7 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   shaanxi_area                           1921    65     29.6  continental   forest
   hexi_area                              1317    54     24.4  continental   sparse
   chuanxi_area                            882    69     12.8  subtropical   woods
   chuannan_area                           728    66     11.0  continental   woods
   longyou_area                            719    39     18.4  continental   sparse
   chuandong_area                          662    40     16.6  subtropical   woods
   gansu_area                              561    30     18.7  cold_arid     desert

#  --- Xinjiang region  -  660k  (2 areas, 85 locations, 7.8 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   tarim_area                              389    49      7.9  cold_arid     desert
   dzungaria_area                          271    36      7.5  cold_arid     sparse

#==================================================================================================================
#  NORTH ASIA  -  457k  (0.1% of world, 33 areas, 845 locations)
#==================================================================================================================

#  --- West Siberia region  -  336k  (16 areas, 327 locations, 1.0 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   suzun_area                               44    21      2.1  continental   forest
   bursol_area                              42    25      1.7  cold_arid     grasslands
   kulykol_area                             38    14      2.7  cold_arid     sparse
   chimgi_tura_area                         36    15      2.4  continental   forest
   qashliq_area                             32    25      1.3  arctic        forest
   omsk_area                                27    28      1.0  continental   forest
   surgut_area                              23    14      1.6  arctic        forest
   mangazeya_area                           23    21      1.1  arctic        sparse
   tomsk_area                               21    23      0.9  arctic        forest
   kansk_area                               14    20      0.7  arctic        forest
   irkutsk_area                             13    13      1.0  continental   woods
   bratsk_area                               9    14      0.7  arctic        forest
   angara_area                               5    30      0.2  arctic        forest
   vitim_area                                5    30      0.2  arctic        forest
   anabyr_area                               3    22      0.2  arctic        forest
   yenisei_area                              2    12      0.2  arctic        forest

#  --- East Siberia region  -  121k  (17 areas, 518 locations, 0.2 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   lower_lena_area                          19    31      0.6  arctic        sparse
   onoid_area                               18    34      0.5  arctic        forest
   west_stanovoi_area                       15    34      0.4  continental   forest
   yakutia_area                              8    33      0.3  arctic        forest
   yandin_area                               6    37      0.2  arctic        forest
   okhotsk_coast_area                        5    33      0.2  arctic        forest
   anadyr_area                               5    32      0.2  arctic        sparse
   indigirka_area                            5    32      0.2  arctic        forest
   east_stanovoi_area                        5    32      0.2  continental   forest
   amga_area                                 5    32      0.2  arctic        forest
   upper_lena_area                           5    32      0.2  arctic        forest
   kolyma_area                               5    30      0.2  arctic        woods
   laptev_coast_area                         4    28      0.2  arctic        sparse
   chuvan_area                               4    26      0.2  arctic        sparse
   middle_lena_area                          4    26      0.2  arctic        forest
   chukchee_area                             4    26      0.2  arctic        sparse
   kamchatka_area                            3    20      0.1  arctic        sparse

#==================================================================================================================
#  SOUTH ASIA  -  93792k  (23.8% of world, 31 areas, 1229 locations)
#==================================================================================================================

#  --- Hindustan region  -  26869k  (7 areas, 333 locations, 80.7 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   punjab_area                           10399   125     83.2  arid          sparse
   doab_area                              4977    35    142.2  arid          farmland
   bhojpur_area                           4239    30    141.3  subtropical   woods
   awadh_area                             3524    24    146.8  subtropical   grasslands
   nepal_area                             2038    61     33.4  subtropical   forest
   rokhilkhand_area                       1290    12    107.5  subtropical   woods
   upper_indus_area                        402    46      8.7  mediterranean sparse

#  --- Bengal region  -  22146k  (8 areas, 289 locations, 76.6 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   bengal_area                           10088    79    127.7  subtropical   forest
   mithila_area                           4547    31    146.7  subtropical   woods
   orissa_area                            3451    73     47.3  tropical      jungle
   assam_area                             1600    36     44.4  subtropical   forest
   jharkhand_area                         1256    15     83.7  subtropical   jungle
   monyul_area                             533    32     16.6  subtropical   forest
   hill_area                               447    17     26.3  subtropical   jungle
   chota_nagpur_area                       225     6     37.5  subtropical   jungle

#  --- Central India region  -  9657k  (3 areas, 133 locations, 72.6 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   gondwana_area                          4275    76     56.3  subtropical   jungle
   vidarbha_area                          2704    21    128.8  tropical      jungle
   malwa_area                             2678    36     74.4  arid          woods

#  --- Western India region  -  12786k  (4 areas, 151 locations, 84.7 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   rajputana_area                         5602    70     80.0  arid          sparse
   sindh_area                             2985    42     71.1  arid          sparse
   gujarat_area                           2100    19    110.5  arid          grasslands
   saurashtra_area                        2099    20    105.0  arid          sparse

#  --- Deccan region  -  22334k  (9 areas, 323 locations, 69.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   tamil_land_area                        4347    53     82.0  tropical      grasslands
   maharashtra_area                       4259    42    101.4  arid          jungle
   karnakassala_area                      3978    64     62.2  arid          sparse
   andhra_area                            3506    54     64.9  arid          grasslands
   telingana_area                         3124    42     74.4  tropical      jungle
   malabar_area                           1403    25     56.1  tropical      jungle
   sailan_area                             901    24     37.5  tropical      jungle
   konkan_area                             790    14     56.4  tropical      jungle
   maldives_area                            26     5      5.2  tropical      forest

#==================================================================================================================
#  SOUTH EAST ASIA  -  18064k  (4.6% of world, 23 areas, 1044 locations)
#==================================================================================================================

#  --- Indochina region  -  10921k  (12 areas, 471 locations, 23.2 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   lower_mekong_area                      2167    49     44.2  tropical      forest
   red_river_delta_area                   1730    57     30.4  subtropical   jungle
   irrawady_delta_area                    1429    35     40.8  tropical      jungle
   chao_phraya_area                       1023    36     28.4  tropical      jungle
   irrawady_area                           826    36     22.9  tropical      forest
   arakhan_area                            784    19     41.2  tropical      jungle
   champa_area                             758    29     26.1  tropical      jungle
   khorat_plateau_area                     688    65     10.6  tropical      forest
   northern_tai_highland_area              503    38     13.2  tropical      jungle
   malay_peninsula_area                    470    43     10.9  tropical      jungle
   shan_highland_area                      377    39      9.7  subtropical   jungle
   kachin_area                             167    25      6.7  subtropical   jungle

