eu4_tag,eu5_tag,country,reason
BAS,BAP,Bastahn,collides with a vanilla EU5 tag
BEI,BEB,Bei Lon,collides with a vanilla EU5 tag
BEN,BEC,Bergen,collides with a vanilla EU5 tag
BER,BED,Bern,collides with a vanilla EU5 tag
BGL,BGA,Banglei,collides with a vanilla EU5 tag
BHA,BHB,Bharat,collides with a vanilla EU5 tag
BHD,BHC,Bhadrasim,collides with a vanilla EU5 tag
BHN,BHE,Barahun,collides with a vanilla EU5 tag
BKH,BKA,Barkanash,collides with a vanilla EU5 tag
BLA,BLC,Blackhorse,collides with a vanilla EU5 tag
BLD,BLF,Belur Dashak,collides with a vanilla EU5 tag
BLE,BLH,Bleak,collides with a vanilla EU5 tag
BLI,BLJ,Blue Isles,collides with a vanilla EU5 tag
BLS,BLK,Black Sail,collides with a vanilla EU5 tag
BOR,BOA,Borelia,collides with a vanilla EU5 tag
BOS,BOB,Bosant,collides with a vanilla EU5 tag
BRA,BRF,Brava,collides with a vanilla EU5 tag
BRE,BRH,Breiten,collides with a vanilla EU5 tag
BRG,BRJ,Brongs,collides with a vanilla EU5 tag
BRI,BRP,Briihk,collides with a vanilla EU5 tag
BRL,BRQ,Briltan,collides with a vanilla EU5 tag
BRN,BRW,Borne,collides with a vanilla EU5 tag
BRO,BRX,Bronnland,collides with a vanilla EU5 tag
BRS,BR1,Blackrose,collides with a vanilla EU5 tag
BSH,BSA,Barshal,collides with a vanilla EU5 tag
BSK,BSB,Bashkal,collides with a vanilla EU5 tag
BUG,BUA,Bugeon,collides with a vanilla EU5 tag
CAB,CAC,Clan Aberahx,collides with a vanilla EU5 tag
CAG,CAF,Clan Aggwuhd,collides with a vanilla EU5 tag
CAS,CAJ,Casiin,collides with a vanilla EU5 tag
CAT,CAK,Catul,collides with a vanilla EU5 tag
CET,CEA,Cetrea,collides with a vanilla EU5 tag
CEV,CEC,Cevar,collides with a vanilla EU5 tag
CHA,CHF,Chambot,collides with a vanilla EU5 tag
CHE,CHQ,Cheonju,collides with a vanilla EU5 tag
CHG,CHY,Chugal,collides with a vanilla EU5 tag
CHH,CH0,Chimounh,collides with a vanilla EU5 tag
CHI,CH1,Chimat,collides with a vanilla EU5 tag
CHJ,CH2,Chajeo,collides with a vanilla EU5 tag
CHK,CH3,Chaleske,collides with a vanilla EU5 tag
CHN,CH4,Chains,collides with a vanilla EU5 tag
CHO,CH5,Chondar,collides with a vanilla EU5 tag
CHP,CH6,Chandipur,collides with a vanilla EU5 tag
CLA,CLB,Clath Num,collides with a vanilla EU5 tag
CLE,CLD,Clan Leihgtr,collides with a vanilla EU5 tag
COP,COA,Copper Traders,collides with a vanilla EU5 tag
COR,COB,Coral,collides with a vanilla EU5 tag
COT,COD,Cothonia,collides with a vanilla EU5 tag
CRA,CRB,Crabbe,collides with a vanilla EU5 tag
CRK,CRC,Cliffer's Rock,collides with a vanilla EU5 tag
DAW,DAB,Dawn,collides with a vanilla EU5 tag
DEG,DEA,Dega,collides with a vanilla EU5 tag
DOE,DOA,Doernum,collides with a vanilla EU5 tag
DRA,DRB,Drakum,collides with a vanilla EU5 tag
DRE,DRC,Drebynum,collides with a vanilla EU5 tag
DRU,DRF,Druthe,collides with a vanilla EU5 tag
DUN,DUB,Dune,collides with a vanilla EU5 tag
DUR,DUC,Durris,collides with a vanilla EU5 tag
ELL,ELB,Elldranor,collides with a vanilla EU5 tag
ERE,ERC,Erefion,collides with a vanilla EU5 tag
EVE,EVA,Evergreen Temple,collides with a vanilla EU5 tag
EVR,EVB,Evermore,collides with a vanilla EU5 tag
FAL,FAA,Falkenholm,collides with a vanilla EU5 tag
FEL,FEA,Fellur,collides with a vanilla EU5 tag
FER,FEB,Ferhun,collides with a vanilla EU5 tag
FRE,FRB,Freynhall,collides with a vanilla EU5 tag
GAL,GAA,Gales,collides with a vanilla EU5 tag
GAR,GAB,Garakh,collides with a vanilla EU5 tag
GAZ,GAC,Gazak,collides with a vanilla EU5 tag
GHA,GHB,Ghasri,collides with a vanilla EU5 tag
GIL,GIB,Gildur,collides with a vanilla EU5 tag
GOL,GOC,Goldvale,collides with a vanilla EU5 tag
GOR,GOD,Gorsand,collides with a vanilla EU5 tag
GRA,GRB,Grayle,collides with a vanilla EU5 tag
GRF,GRC,Graf,collides with a vanilla EU5 tag
GRY,GRD,Grey Islands,collides with a vanilla EU5 tag
GWA,GWB,Gwageh,collides with a vanilla EU5 tag
HAA,HAE,Haan,collides with a vanilla EU5 tag
HAC,HAF,Has Achem,collides with a vanilla EU5 tag
HAD,HAH,Hadruhn,collides with a vanilla EU5 tag
HAI,HAO,Haima,collides with a vanilla EU5 tag
HAL,HAP,Hallenheim,collides with a vanilla EU5 tag
HAM,HAR,Hammerhills,collides with a vanilla EU5 tag
HBR,HBA,Has Breneh,collides with a vanilla EU5 tag
HEL,HEC,Helsing,collides with a vanilla EU5 tag
HES,HED,Hestan,collides with a vanilla EU5 tag
HIG,HIA,Highwater,collides with a vanilla EU5 tag
HLG,HLB,Hanlong,collides with a vanilla EU5 tag
HLM,HLC,Halmskr,collides with a vanilla EU5 tag
HNM,HND,Hunam,collides with a vanilla EU5 tag
HRO,HRD,Hrossland,collides with a vanilla EU5 tag
HTA,HTB,Hta,collides with a vanilla EU5 tag
HUN,HUC,Hunting,collides with a vanilla EU5 tag
ICE,ICA,Icerun,collides with a vanilla EU5 tag
INA,INB,Inair Thu,collides with a vanilla EU5 tag
ISH,ISB,Ishtar,collides with a vanilla EU5 tag
ISK,ISC,Iska,collides with a vanilla EU5 tag
ISO,ISF,Isopor,collides with a vanilla EU5 tag
JHI,JHA,Jhistal,collides with a vanilla EU5 tag
KAD,KAC,Kadif,collides with a vanilla EU5 tag
KAI,KAH,Kai Mund,collides with a vanilla EU5 tag
KAN,KAK,Kaneth,collides with a vanilla EU5 tag
KAQ,KAO,Kana Qaftan,collides with a vanilla EU5 tag
KAR,KAP,Karshire,collides with a vanilla EU5 tag
KAS,KAX,Kash,collides with a vanilla EU5 tag
KAW,KAZ,Kawn,collides with a vanilla EU5 tag
KEL,KEA,Keltan,collides with a vanilla EU5 tag
KER,KEC,Kerram,collides with a vanilla EU5 tag
KHG,KHB,Khagas,collides with a vanilla EU5 tag
KHM,KHE,Khmon,collides with a vanilla EU5 tag
KHS,KHH,Khas,collides with a vanilla EU5 tag
KHU,KHI,Khuf,collides with a vanilla EU5 tag
KIC,KIB,Kichista,collides with a vanilla EU5 tag
KIL,KIF,Kilhorn,collides with a vanilla EU5 tag
KLT,KLD,Keltran,collides with a vanilla EU5 tag
KNT,KNC,Kanata,collides with a vanilla EU5 tag
KOK,KOA,Kopki,collides with a vanilla EU5 tag
KOL,KOB,Kolsant,collides with a vanilla EU5 tag
KOR,KOC,Kornost,collides with a vanilla EU5 tag
KOS,KOE,Koserak,collides with a vanilla EU5 tag
KRA,KRB,Kravane,collides with a vanilla EU5 tag
KRI,KRC,Krivara,collides with a vanilla EU5 tag
KRN,KRE,Kron,collides with a vanilla EU5 tag
KSN,KSB,Khasan,collides with a vanilla EU5 tag
KSP,KSC,Kaspadra,collides with a vanilla EU5 tag
KTT,KTA,Krattang,collides with a vanilla EU5 tag
KUN,KUC,Kon'uk'nur,collides with a vanilla EU5 tag
LAM,LAA,Lamp,collides with a vanilla EU5 tag
LDA,LDC,Ldan,collides with a vanilla EU5 tag
LGT,LGA,Lang Tang,collides with a vanilla EU5 tag
LIM,LIA,Limyer,collides with a vanilla EU5 tag
LIN,LID,Linderton,collides with a vanilla EU5 tag
LOR,LOA,Lorvik,collides with a vanilla EU5 tag
LUC,LUA,Lucker's Point,collides with a vanilla EU5 tag
MAA,MAF,Mana,collides with a vanilla EU5 tag
MAE,MAP,Maetia,collides with a vanilla EU5 tag
MAG,MAQ,Magkchezd,collides with a vanilla EU5 tag
MAH,MAV,Mahana,collides with a vanilla EU5 tag
MAJ,MAW,Majun,collides with a vanilla EU5 tag
MAK,MAX,Makeda,collides with a vanilla EU5 tag
MAL,MAY,Malkast,collides with a vanilla EU5 tag
MAN,MA0,Manillo,collides with a vanilla EU5 tag
MAR,MA1,Marfield,collides with a vanilla EU5 tag
MAU,MA2,Maul,collides with a vanilla EU5 tag
MDA,MDB,Mdarak,collides with a vanilla EU5 tag
MEI,MEA,Meilin,collides with a vanilla EU5 tag
MFE,MFB,Manafe,collides with a vanilla EU5 tag
MGU,MGA,Magi Urul,collides with a vanilla EU5 tag
MHA,MHB,Maha,collides with a vanilla EU5 tag
MIS,MIA,Misrata,collides with a vanilla EU5 tag
MNG,MNF,Murinagar,collides with a vanilla EU5 tag
MNN,MNH,Minan,collides with a vanilla EU5 tag
MNT,MNO,Mercant,collides with a vanilla EU5 tag
MOG,MOA,Mogrul Kash,collides with a vanilla EU5 tag
MON,MOB,Monlaa,collides with a vanilla EU5 tag
MOP,MOF,Mopar,collides with a vanilla EU5 tag
MOS,MOH,Mosan,collides with a vanilla EU5 tag
MRI,MRD,Merenaii,collides with a vanilla EU5 tag
MRM,MRF,Mersirum,collides with a vanilla EU5 tag
MRN,MRG,Martain,collides with a vanilla EU5 tag
MRP,MRL,Maroon Pirates,collides with a vanilla EU5 tag
MRT,MRO,Marat,collides with a vanilla EU5 tag
MSH,MSA,Mash,collides with a vanilla EU5 tag
MTN,MTC,Moton,collides with a vanilla EU5 tag
MTY,MTE,Mantasy,collides with a vanilla EU5 tag
MUA,MUB,Muang Rung,collides with a vanilla EU5 tag
MUR,MUC,Murlocke,collides with a vanilla EU5 tag
MUS,MUE,Musrat Shelfim,collides with a vanilla EU5 tag
MYI,MYB,Myi,collides with a vanilla EU5 tag
NAA,NAB,Naarth,collides with a vanilla EU5 tag
NAI,NAE,Naital,collides with a vanilla EU5 tag
NAS,NAF,Nashde,collides with a vanilla EU5 tag
NAV,NAJ,Naava,collides with a vanilla EU5 tag
NBY,NBA,Narabaye,collides with a vanilla EU5 tag
NIE,NIA,Niev,collides with a vanilla EU5 tag
NOR,NOA,Northel,collides with a vanilla EU5 tag
NTH,NTB,Noth,collides with a vanilla EU5 tag
NUR,NUA,Nurzia,collides with a vanilla EU5 tag
NYA,NYB,Narinya,collides with a vanilla EU5 tag
NYM,NYC,Nym,collides with a vanilla EU5 tag
OKR,OKA,Okrul,collides with a vanilla EU5 tag
OLD,OLA,Oldstone,collides with a vanilla EU5 tag
OMA,OMB,Omag,collides with a vanilla EU5 tag
OND,ONA,Onda,collides with a vanilla EU5 tag
ORA,ORF,Ormia,collides with a vanilla EU5 tag
ORE,ORG,Orenheim,collides with a vanilla EU5 tag
ORK,ORJ,Old Ryyk,collides with a vanilla EU5 tag
ORM,ORN,Orms,collides with a vanilla EU5 tag
OUA,OUB,Ouan,collides with a vanilla EU5 tag
PAD,PAA,Padona,collides with a vanilla EU5 tag
PAL,PAB,Paldar,collides with a vanilla EU5 tag
PAM,PAE,Pandam,collides with a vanilla EU5 tag
PAN,PAF,Pan,collides with a vanilla EU5 tag
PAR,PAG,Parth,collides with a vanilla EU5 tag
PEA,PEB,Pearl,collides with a vanilla EU5 tag
PER,PEC,Perlton,collides with a vanilla EU5 tag
PIC,PIB,Picket,collides with a vanilla EU5 tag
PIN,PID,Itaq Pini,collides with a vanilla EU5 tag
PRA,PRB,Prajat,collides with a vanilla EU5 tag
PRC,PRD,Pirec,collides with a vanilla EU5 tag
QAR,QAA,Qariim,collides with a vanilla EU5 tag
QAS,QAB,Qashan,collides with a vanilla EU5 tag
RAG,RAB,Ragraz,collides with a vanilla EU5 tag
RAV,RAC,Ravona,collides with a vanilla EU5 tag
RAW,RAF,Raswat,collides with a vanilla EU5 tag
RCH,RCA,The Reach,collides with a vanilla EU5 tag
RET,REC,Rettaria,collides with a vanilla EU5 tag
ROS,ROA,Rossland,collides with a vanilla EU5 tag
ROT,ROB,Roti,collides with a vanilla EU5 tag
SAA,SAC,Shathra,collides with a vanilla EU5 tag
SAN,SAE,Sandall,collides with a vanilla EU5 tag
SAW,SAJ,Sawathayya,collides with a vanilla EU5 tag
SAY,SAP,Sayel,collides with a vanilla EU5 tag
SED,SEB,Seduin,collides with a vanilla EU5 tag
SEN,SEC,Senon,collides with a vanilla EU5 tag
SHI,SHC,Shieldpeak,collides with a vanilla EU5 tag
SHK,SHL,Shkana,collides with a vanilla EU5 tag
SHM,SHV,Shamas,collides with a vanilla EU5 tag
SHN,SHW,Stahn,collides with a vanilla EU5 tag
SHO,SH0,Shomkeut,collides with a vanilla EU5 tag
SHP,SH1,Sheppal,collides with a vanilla EU5 tag
SIK,SIA,Sihkampong,collides with a vanilla EU5 tag
SIR,SID,Sireth,collides with a vanilla EU5 tag
SKA,SKB,Skaven,collides with a vanilla EU5 tag
SKE,SKC,Skerten,collides with a vanilla EU5 tag
SKI,SKD,Skein,collides with a vanilla EU5 tag
SKN,SKF,Shakran,collides with a vanilla EU5 tag
SKR,SKG,Shikar,collides with a vanilla EU5 tag
SKT,SKH,Sukutar,collides with a vanilla EU5 tag
SLE,SLB,Sleiporg,collides with a vanilla EU5 tag
SLI,SLC,Salthuli,collides with a vanilla EU5 tag
SLK,SLF,Selake,collides with a vanilla EU5 tag
SLV,SLG,Silavia,collides with a vanilla EU5 tag
SMA,SMC,Smar,collides with a vanilla EU5 tag
SNG,SNA,Senigal,collides with a vanilla EU5 tag
SNT,SNB,Sent,collides with a vanilla EU5 tag
SOK,SOC,Sokura,collides with a vanilla EU5 tag
SOM,SOD,Somare,collides with a vanilla EU5 tag
SON,SOE,Sondeth,collides with a vanilla EU5 tag
SOR,SOF,Sorrolok,collides with a vanilla EU5 tag
SOS,SOG,Syllos,collides with a vanilla EU5 tag
SOU,SOI,Southstone,collides with a vanilla EU5 tag
SOY,SOJ,Soyun,collides with a vanilla EU5 tag
SSP,SSA,Shadowspire,collides with a vanilla EU5 tag
STD,STB,Seagull Traders,collides with a vanilla EU5 tag
STE,STF,Stern,collides with a vanilla EU5 tag
STN,STI,Stal Num,collides with a vanilla EU5 tag
STP,STJ,Stoneport,collides with a vanilla EU5 tag
STY,STL,Styre,collides with a vanilla EU5 tag
SUK,SUA,Sukhul,collides with a vanilla EU5 tag
SUL,SUB,Suld,collides with a vanilla EU5 tag
SVA,SVB,Svalheim,collides with a vanilla EU5 tag
SYU,SYA,South Yun,collides with a vanilla EU5 tag
SYY,SYB,Sayyos,collides with a vanilla EU5 tag
TAN,TAB,Tanif,collides with a vanilla EU5 tag
TAR,TAC,Taroq,collides with a vanilla EU5 tag
TAV,TAD,Tarov,collides with a vanilla EU5 tag
TBA,TBB,Tban Sha,collides with a vanilla EU5 tag
TEL,TEB,Teltran,collides with a vanilla EU5 tag
TEN,TEC,Tene,collides with a vanilla EU5 tag
TER,TED,Terl,collides with a vanilla EU5 tag
THE,THC,Thelis,collides with a vanilla EU5 tag
THO,THF,Thorne,collides with a vanilla EU5 tag
THT,THG,Thaten,collides with a vanilla EU5 tag
TIR,TIA,Tirol,collides with a vanilla EU5 tag
TNA,TNB,Thuan Na,collides with a vanilla EU5 tag
TOR,TOB,Tormund,collides with a vanilla EU5 tag
TPL,TPB,The Pale,collides with a vanilla EU5 tag
TRA,TRD,Trader's Post,collides with a vanilla EU5 tag
TRE,TRJ,Tredahk,collides with a vanilla EU5 tag
TRN,TRL,Thoron,collides with a vanilla EU5 tag
TRS,TRM,Tarsu,collides with a vanilla EU5 tag
TRT,TRQ,Thornroot,collides with a vanilla EU5 tag
TRV,TRR,Trovenam,collides with a vanilla EU5 tag
TRY,TRU,Temaray,collides with a vanilla EU5 tag
TUC,TUD,The United Clans,collides with a vanilla EU5 tag
TUL,TUE,Tulshu,collides with a vanilla EU5 tag
TUR,TUF,Turbjut,collides with a vanilla EU5 tag
TUV,TUG,Tuvua,collides with a vanilla EU5 tag
TVS,TVB,Torvas,collides with a vanilla EU5 tag
TWA,TWB,Tas'Wa,collides with a vanilla EU5 tag
TYR,TYA,Tyrfak,collides with a vanilla EU5 tag
UES,UEA,Uesoda,collides with a vanilla EU5 tag
ULA,ULB,Ulat,collides with a vanilla EU5 tag
VAL,VAA,Vallreix,collides with a vanilla EU5 tag
VEN,VEA,Ventria,collides with a vanilla EU5 tag
VER,VEB,Verran,collides with a vanilla EU5 tag
VIJ,VIA,Vijung,collides with a vanilla EU5 tag
VIN,VIB,Vindes,collides with a vanilla EU5 tag
VLD,VLA,Volradanach,collides with a vanilla EU5 tag
VLT,VLB,Valant,collides with a vanilla EU5 tag
VOL,VOA,Volamis,collides with a vanilla EU5 tag
WAI,WAA,Waitirim,collides with a vanilla EU5 tag
WAL,WAB,Walando,collides with a vanilla EU5 tag
WAN,WAC,Wangou,collides with a vanilla EU5 tag
WAR,WAE,Warshva,collides with a vanilla EU5 tag
WAS,WAF,Wasun,collides with a vanilla EU5 tag
WEI,WEB,Weissten,collides with a vanilla EU5 tag
WGG,WGA,Wonggem,collides with a vanilla EU5 tag
WLS,WLA,Wells,collides with a vanilla EU5 tag
WOL,WOA,Wolflands,collides with a vanilla EU5 tag
YAN,YAA,Yanghine,collides with a vanilla EU5 tag
YEM,YEB,Yemenkaru,collides with a vanilla EU5 tag
ZAG,ZAA,Zangh,collides with a vanilla EU5 tag
ZAN,ZAD,Zanukk,collides with a vanilla EU5 tag
ZHU,ZHA,Zhu,collides with a vanilla EU5 tag
