ID,Colour,Name,Capital,Tax,Production,Manpower,"Total Dev (0 means cant colonize, but can with only 1)",Trade Good,Terrain (see https://eu4.paradoxwikis.com/Province#Terrain for types),Special (is wasteland/uncolonized/sea),Region,Religion,Culture,Fort (Level),Center of Trade Level,Owner,Cores (not including owner),Controller,"Climate (arid, arctic, tropical)","Winter (cold, normal, mild)"
22,same,Lower Eyslo,Herringen,5,4,6,15,Grain,,,,Yoneth,Ykran,,,,,,,
23,same,East Kapland,Kapstad,6,3,5,14,Wool,,,,Yoneth,Ykran,,,,,,,
24,same,Njarla,Hufndra,2,4,3,9,Gold,,,,Old Yorr,Ykran,,1,,,,,
25,same,Icerun,Icerun,4,3,3,10,Livestock,,,,Old Yorr,Ykran,,,,,,,
26,same,Frys,Frysgard,4,2,7,13,Wool,,,,Old Yorr,Ykran,1,,,,,,
27,same,Roslagn,Vartslarna,2,2,2,6,Livestock,,,,Old Yorr,Ykran,,,,,,,
28,same,Gagasla,Storak,1,1,1,3,Livestock,,,,Old Yorr,Jogunin,1,,,,,,
29,same,West Kapland,Jug,1,2,2,5,fur,,,,Old Yorr,Ykran,,,,,,,
30,same,Upper Eyslo,Wolfhome,3,2,2,7,Livestock,,,,Old Yorr,Ykran,,,,,,,
31,same,Savolen,Tavax,4,5,2,11,Iron,,,,Yoneth,Ykran,,,,,,,
32,same,Skund,Skund,6,6,7,19,fur,,,,Yoneth,Ykran,1,,,,,,
33,same,Norra,Norra,5,4,4,13,Dragon Hide,,,,Yoneth,Dargish,,,,,,,
34,same,Talmyr,Talmyr,5,6,3,14,copper,,,,Yoneth,Dargish,,,,,,,
35,same,Tojun,Bear's Claw,6,4,4,14,Naval Supplies,,,,Yoneth,Dargish,,,,,,,
36,same,Sojot,Sojoten,4,3,4,11,Naval Supplies,,,,Yoneth,Dargish,,,,,,,
37,same,Greyland,Rimr,3,4,4,11,Naval Supplies,,,,Yoneth,Dargish,,1,,,,,
38,same,Torvas,Torigg's Ford,4,4,4,12,Fish,,,,Yoneth,Bjorming,,,,,,,
39,same,Flodden,Flodstead,5,4,2,11,Naval Supplies,,,,Yoneth,Dargish,,,,,,,
40,same,Rasland,Rasmund,8,6,8,22,Grain,,,,Yoneth,Bjorming,,1,,,,,
41,same,Tormund,Tormund,12,9,11,32,fur,,,,Yoneth,Bjorming,1,1,,,,,
42,same,Mudrson Isle,Ejol's Harbour,3,4,5,12,Naval Supplies,,,,Yoneth,Bjorming,,,,,,,
43,same,Hjalvheim,Hjalvheim,6,5,6,17,Cloth,,,,Yoneth,Bjorming,,,,,,,
44,same,Kasten,Kasten,5,5,5,15,fur,,,,Yoneth,Bjorming,,,,,,,
45,same,Dalland,Dalmer,4,4,4,12,Dragon Hide,,,,Yoneth,Dargish,,,,,,,
46,same,Odoal,Ysl,3,4,2,9,Ancient Artifacts,,,,Yoneth,Dargish,,1,,,,,
47,same,Hrafnborg,Hrafnborg,3,3,3,9,Naval Supplies,,,,Yoneth,Dargish,1,,,,,,
48,same,Roskir,Roskir's Rock,2,1,4,7,Stone,,,,Yoneth,Dargish,,,,,,,
49,same,Dagholm,Dagholm,5,6,4,15,Beer,,,,Yoneth,Bjorming,,1,,,,,
50,same,Ufalla,Uskrinn,3,2,2,7,Naval Supplies,,,,Yoneth,Bjorming,,,,,,,
51,same,Ironstone,Ironstone,3,6,5,14,Iron,,,,Yoneth,Dargish,1,,,,,,
52,same,Altmund,Altmund,7,6,4,17,Cloth,,,,Yoneth,Bjorming,,,,,,,
53,same,Sturing,Sturing,5,4,1,10,Grain,,,,Yoneth,Grafen,,,,,,,
54,same,Osfell,Vign,2,3,1,6,Gems,,,,Yoneth,Grafen,,,,,,,
55,same,Thalheim,Thalheim,3,3,3,9,Beer,,,,Yoneth,Grafen,,,,,,,
56,same,Ris,Mulstad,2,2,2,6,copper,,,,Yoneth,Grafen,,,,,,,
57,same,Sixja,Sixja,8,7,4,19,Grain,,,,Yoneth,Grafen,,1,,,,,
58,same,Nedland,Yggdal,4,2,2,8,Iron,,,,Yoneth,Grafen,,,,,,,
59,same,Forderen,Refaxja,5,4,4,13,Grain,,,,Yoneth,Grafen,1,,,,,,
60,same,Alfdran,Alfa,4,4,4,12,Gold,,,,Yoneth,Grafen,,,,,,,
61,same,Mundren,Mundren,6,6,3,15,Grain,,,,Yoneth,Grafen,,,,,,,
62,same,Galmer,Galmer,6,4,5,15,Grain,,,,Yoneth,Grafen,,1,,,,,
63,same,Torben,Torben,7,4,5,16,Beer,,,,Yoneth,Grafen,,,,,,,
64,same,Jofur,Jofur,15,11,9,35,Grain,,,,Yoneth,Grafen,,2,,,,,
65,same,Heterland,Drovn,5,5,5,15,Fish,,,,Yoneth,Grafen,,,,,,,
66,same,Hross,Hrossgard,5,4,7,16,Naval Supplies,,,,Yoneth,Grafen,1,,,,,,
67,same,Gothesdan,Silemin,4,5,3,12,copper,,,,Yoneth,Grafen,,,,,,,
68,same,South Hovn,Kajn,5,4,2,11,Wool,,,,Yoneth,Falkish,,,,,,,
69,same,North Hovn,Barslje,6,4,3,13,Grain,,,,Yoneth,Falkish,,,,,,,
70,same,Agvellir,Fora,6,6,4,16,Cloth,,,,Yoneth,Falkish,,,,,,,
71,same,Sark,Sark,8,7,8,23,fur,,,,Yoneth,Falkish,,1,,,,,
72,same,Hakland,Bjorkoping,4,5,5,14,Naval Supplies,,,,Yoneth,Falkish,,,,,,,
73,same,South Belaff,Forst,3,4,3,10,Fungi,,,West Falk,Yoneth,Falkish,,,,,,,
74,same,North Belaff,Hjota,3,4,3,10,Honey,,,West Falk,Yoneth,Falkish,,,,,,,
75,same,Falkenholm,Falkenholm,10,11,7,28,Naval Supplies,,,West Falk,Yoneth,Falkish,,1,,,,,
76,same,West Pass,Odoak,1,2,3,6,Wool,,,West Falk,Yoneth,Falkish,1,,,,,,
77,same,Hersh,Hershing,6,6,6,18,Naval Supplies,,,West Falk,Yoneth,Falkish,,,,,,,
78,same,Skarrun,Skarr,5,6,4,15,copper,,,East Falk,Church of Yon,Falkish,,,,,,,
79,same,Harland,Harstad,6,4,4,14,Grain,,,East Falk,Church of Yon,Falkish,,,,,,,
80,same,Ytland,Ytann,4,4,4,12,Horses,,,East Falk,Church of Yon,Falkish,,,,,,,
81,same,Ormsdalr,Ormsdalr,7,6,7,20,Horses,,,East Falk,Church of Yon,Falkish,,1,,,,,
82,same,Harals,Haralsgard,1,1,2,4,Wool,,,East Falk,Church of Yon,Falkish,1,,,,,,
83,same,Malkast,Malkast,12,10,13,35,Iron,,,,Yoneth,Ryykan,1,1,,,,,
84,same,Little Rock,Far Moss,3,5,4,12,Naval Supplies,,,,Yoneth,Ryykan,,,,,,,
85,same,Merstrond,Merstrond,6,5,5,16,Grain,,,,Yoneth,Ryykan,,,,,,,
86,same,Lathur,Lathur,4,4,4,12,Livestock,,,,Yoneth,Ryykan,,,,,,,
87,same,Fjoltan,Fjoltan,5,3,4,12,Livestock,,,,Yoneth,Ryykan,,,,,,,
88,same,West Skjoll,Drumsen,2,2,2,6,Naval Supplies,,,,Yoneth,Falkish,,,,,,,
89,same,Uldr Skjoll,Stoxs,2,3,2,7,Naval Supplies,,,,Yoneth,Ryykan,,,,,,,
90,same,South Skjoll,Wennin,2,3,2,7,Naval Supplies,,,,Yoneth,Ryykan,,,,,,,
91,same,Nufhjav,Aarholm,4,4,3,11,Wool,,,,Yoneth,Ryykan,,,,,,,
92,same,Skerten,Skerten,6,5,6,17,Fish,,,,Yoneth,Ryykan,,,,,,,
93,same,Iskafjord,Iskafjord,5,5,5,15,Fish,,,,Yoneth,Ryykan,,,,,,,
94,same,Big Rock,Far Johos,3,3,3,9,Fish,,,,Yoneth,Ryykan,,,,,,,
95,same,Blackhill,Mordhall,4,4,6,14,Wool,,,,Yoneth,Ryykan,1,,,,,,
96,same,Central Ryyk,Ryykheim,5,5,8,18,Livestock,,,,Yoneth,Ryykan,,,,,,,
97,same,Gottholm,Gottholm,7,7,7,21,Paper,,,,Church of Yon,Ryykan,,1,,,,,
98,same,Tethan,Runr,4,3,3,10,Livestock,,,,Church of Yon,Ryykan,,,,,,,
99,same,Valrunin,Rivyr,2,2,2,6,Naval Supplies,,,,Church of Yon,Ryykan,,,,,,,
100,same,Ysa,Ysalstrond,4,5,3,12,Fish,,,,Church of Yon,Ryykan,,,,,,,
101,same,Trejaslo,Trejaslo,8,7,4,19,Instruments,,,,Yoneth,Ryykan,,1,,,,,
102,same,Othenheim,Brunaft,6,5,5,16,Ships,,,,Yoneth,Ryykan,,,,,,,
103,same,Serpent Isle,Far Borja,6,6,6,18,Paper,,,,Yoneth,Nyvarsk,,,,,,,
104,same,Yjoll Isles,Far Trene,2,3,3,8,Fish,,,,Cult of the Sea,Haaken,,1,,,,,
105,same,Seastone,Seastone,4,5,4,13,Slaves,,,,Cult of the Sea,Haaken,,,,,,,
106,same,Varun,Varungard,3,4,3,10,Slaves,,,,Church of Yon,Haaken,1,,,,,,
107,same,Northeim,Northeim,10,9,14,33,Slaves,,,,Cult of the Sea,Haaken,1,1,,,,,
108,same,Host,Grenlard,5,5,5,15,Ships,,,,Church of Yon,Haaken,,,,,,,
109,same,Uthrenland,Uthr,4,3,4,11,Fish,,,,Church of Yon,Haaken,,,,,,,
110,same,Selke,Selke,3,3,3,9,Naval Supplies,,,,Cult of the Sea,Haaken,,,,,,,
111,same,Reyknor,Kattegar,2,2,2,6,Fish,,,,Yoneth,Haaken,,1,,,,,
112,same,Ulurskellnyr,Axegrind,4,5,5,14,Slaves,,,,Cult of the Sea,Haaken,1,,,,,,
113,same,Lorvik,Lorvik,6,5,3,14,Slaves,,,,Cult of the Sea,Haaken,,,,,,,
114,same,West Hallsey,Nornstad,4,4,4,12,Naval Supplies,,,,Yoneth,Haaken,,,,,,,
115,same,Hallenheim,Hallenheim,13,13,13,39,Ships,,,,Yoneth,Haaken,,3,,,,,
116,same,East Hallsey,Adriggan,5,5,5,15,Fish,,,,Yoneth,Haaken,,,,,,,
117,same,Kilhorn,Kilhorn,5,7,4,16,Iron,,,,Yoneth,Haaken,1,,,,,,
118,same,Northpearl,Northpearl,3,6,3,12,Pearl,,,,Cult of the Sea,Nyvarsk,,,,,,,
119,same,Lofta Isle,Lofta,2,5,1,8,Dyes,,,,Cult of the Sea,Nyvarsk,,,,,,,
120,same,Uqaruq,Azanu,1,4,1,6,Whales,,,,Yoneth,Azqu,,,,,,,
121,same,Coldhearth,Coldhearth,6,7,4,17,Fish,,,,Yoneth,Azqu,,1,,,,,
122,same,Highstar,Highstar,6,8,3,17,Gems,,,,Yoneth,Azqu,,,,,,,
123,same,Southshore,Iqisig,3,2,2,7,Fish,,,,Yoneth,Azqu,,,,,,,
124,same,Azqer Isles,Zaqu,2,2,2,6,Fish,,,,Yoneth,Azqu,,,,,,,
125,same,Borelia,Borelia,8,6,5,19,Salt,,,,Yoneth,Azqu,,,,,,,
126,same,Pinnituq,Pini,1,2,1,4,fur,,,,Yoneth,Iqu,,,,,,,
127,same,Ipikhasaa,Ipikha,1,1,1,3,Fish,,,,Yoneth,Iqu,,,,,,,
128,same,Ugujaai,Uguj,1,1,1,3,fur,,,,Yoneth,Iqu,,,,,,,
129,same,Svaldran,Svaldran,4,4,4,12,Fish,,,,Yoneth,Drevarsk,,1,,,,,
130,same,Aslo,Aslo,5,4,3,12,Salt,,,,Yoneth,Drevarsk,,,,,,,
131,same,Jhorlan,Jhor,2,3,2,7,fur,,,,Yoneth,Drevarsk,,,,,,,
132,same,Skalhall,Skalhall,3,2,2,7,fur,,,,Yoneth,Drevarsk,,,,,,,
133,same,Reykjaby,Reykjaby,4,3,3,10,Ivory,,,,Yoneth,Drevarsk,,1,,,,,
134,same,Orvik,Orvik,3,3,3,9,Fish,,,,Church of Yon,Drevarsk,,,,,,,
135,same,Ijaran,Bromin,4,2,2,8,Fish,,,,Church of Yon,Drevarsk,,,,,,,
136,same,Tvar,Tvarheim,3,2,2,7,Fish,,,,Yoneth,Drevarsk,,,,,,,
137,same,Ogosland,Njute,2,2,2,6,Livestock,,,,Yoneth,Drevarsk,,,,,,,
138,same,Daggas,Gruftr,1,3,2,6,Gold,,,,Yoneth,Drevarsk,1,,,,,,
139,same,Ikonun,Hrun,2,1,2,5,Salt,,,,Yoneth,Drevarsk,1,,,,,,
140,same,Uugaq,Qalluit,1,1,1,3,fur,,,,Yoneth,Iqu,,,,,,,
141,same,Taliq,Nutseruk,1,1,1,3,Fish,,,,Yoneth,Iqu,,,,,,,
142,same,Uaqhivik,Arutse,2,1,2,5,fur,,,,Yoneth,Iqu,,,,,,,
143,same,Tiggak,Ilu,1,2,1,4,Fish,,,,Yoneth,Iqu,,,,,,,
144,same,Seahome,Seahome,5,5,5,15,Fish,,,,Yoneth,Drevarsk,1,1,,,,,
145,same,Otalar,Otalar,4,3,2,9,Naval Supplies,,,,Yoneth,Drevarsk,,,,,,,
146,same,Helsing,Helsing,5,6,2,13,Fish,,,,Yoneth,Drevarsk,,,,,,,
147,same,Solven,Sovel,4,3,3,10,Fish,,,,Yoneth,Drevarsk,,,,,,,
148,same,Basbergan,Skudri,3,3,3,9,Grain,,,,Yoneth,Drevarsk,,,,,,,
149,same,Fjordheim,Fjordheim,15,11,14,40,Ships,,,,Yoneth,Drevarsk,,2,,,,,
150,same,Leden,Ledesby,6,5,5,16,Beer,,,,Yoneth,Drevarsk,,,,,,,
151,same,Rukksland,Rukkstead,5,4,4,13,Grain,,,,Yoneth,Drevarsk,,,,,,,
152,same,Sundborg,Sundborg,4,5,5,14,Fish,,,,Celiicean,Kynen,,1,,,,,
153,same,South Heron,Astead,3,4,3,10,Grain,,,,Celiicean,Kynen,,,,,,,
154,same,Kuning,Kuning,4,4,4,12,Beer,,,,Celiicean,Kynen,,,,,,,
155,same,Norun Plain,Three Hamlets,5,5,4,14,Grain,,,,Church of Yon,Kynen,,,,,,,
156,same,Votun,Votungard,3,4,5,12,Grain,,,,Church of Yon,Kynen,1,,,,,,
157,same,Blackwoods,Allhus,3,3,3,9,Naval Supplies,,,,Celiicean,Kynen,,,,,,,
158,same,Freyn,Freynhall,8,8,7,23,Tea,,,,Church of Yon,Kynen,,1,,,,,
159,same,Enoc Brenn,Slaou,3,4,4,11,Wool,,,,Celiicean,Slein,,,,,,,
160,same,Druada,Lacht,4,3,2,9,Honey,,,,Celiicean,Slein,1,,,,,,
161,same,Sleiporg,Sleiporg,7,6,4,17,Naval Supplies,,,,Celiicean,Slein,,1,,,,,
162,same,Renna,Renna,4,5,4,13,Horses,,,,Celiicean,Slein,,,,,,,
163,same,Klar,Mufan,5,5,5,15,Iron,,,,Celiicean,Slein,,,,,,,
164,same,Tjil Vantan,Leim,4,4,3,11,Gold,,,,Celiicean,Slein,,,,,,,
165,same,Tjil Eirse,Druath,2,2,2,6,Wool,,,,Celiicean,Slein,,,,,,,
166,same,Kynshelm,Kynshelm,11,8,9,28,Cloth,,,,Yoneth,Kynen,,2,,,,,
167,same,Morn,Mornholm,6,5,7,18,Grain,,,,Church of Yon,Kynen,,,,,,,
168,same,Tanvik,Tanvik,5,5,5,15,Herbs,,,,Celiicean,Kynen,,,,,,,
169,same,Greyrun,Mistwatch,3,2,3,8,Livestock,,,,Celiicean,Kynen,1,,,,,,
170,same,Caerwikk,Caerwikk,5,6,3,14,Cloth,,,,Celiicean,Kynen,,,,,,,
171,same,Riohme,Hlauna,3,3,3,9,Fish,,,,Celiicean,Einish,,,,,,,
172,same,Tagocs,Alga,3,3,3,9,LIvestock,,,,Celiicean,Einish,,,,,,,
173,same,Neaendh,Nhionnahana,4,3,2,9,Naval Supplies,,,,Celiicean,Einish,,,,,,,
174,same,Diobhan,Diobhan,4,4,3,11,Fish,,,,Celiicean,Einish,1,1,,,,,
175,same,Hlorma,Hlorma,5,5,5,15,Fish,,,,Celiicean,Einish,,1,,,,,
176,same,Enoc Torse,Brivan,6,5,4,15,Shellfish,,,,Celiicean,Selc,,,,,,,
177,same,Selc Marsh,Eastwatch,3,4,4,11,Salt,,,,Celiicean,Selc,1,,,,,,
178,same,Selse,Selse,16,13,12,41,Dyes,,,,Celiicean,Selc,,2,,,,,
179,same,Taselc,Orse,8,6,6,20,Cloth,,,,Celiicean,Selc,,,,,,,
180,same,Nukk,Nukk,4,7,4,15,Fish,,,,Celiicean,Iqu,,,,,,,
181,same,Abrunanach,Isodh,2,3,2,7,Salt,,,,Celiicean,Selc,,,,,,,
182,same,Drengey,Drengey,3,4,4,11,Fish,,,,Yoneth,Gildic,,,,,,,
183,same,Hreimgild,Hreimgild,11,13,8,32,Ships,,,,Yoneth,Gildic,1,3,,,,,
184,same,Milvrik,Jorte,3,3,3,9,Fish,,,,Yoneth,Gildic,,,,,,,
185,same,Gildhaven,Gildhaven,5,6,5,16,Ships,,,,Yoneth,Gildic,,,,,,,
186,same,Whale Island,Fishhead,3,5,5,13,Whales,,,,Cult of the Sea,Dhoillbridic,,,,,,,
187,same,Keiarn Isles,Adroah,2,3,3,8,Fish,,,,Ywakra,Cahster,,,,,,,
188,same,Kingcahst,Kingcahst,7,6,8,21,Whales,,,,Ywakra,Cahster,1,1,,,,,
189,same,Duoloch Hills,Nanae,2,2,2,6,Whales,,,,Ywakra,Cahster,,,,,,,
190,same,Ardenchills,Braevalor,3,3,4,10,Wool,,,,Ywakra,Cahster,,,,,,,
191,same,Westoc,Westoc,2,3,2,7,Iron,,,,Ywakra,Cahster,,,,,,,
192,same,Toudh Isles,Rayncahst,5,4,5,14,Fish,,,,Ywakra,Cahster,,,,,,,
193,same,In Udny,Tuserc,3,3,3,9,Fish,,,,Cult of the Sea,Dhoillbridic,,,,,,,
194,same,Kojh island,Kojh,4,4,3,11,Fish,,,,Cult of the Sea,Dhoillbridic,,,,,,,
195,same,First Isle,Kaer,3,3,5,11,Fish,,,,Brilthic Church,Dhoillbridic,,1,,,,,
196,same,Oberton Isles,Greenstought,2,2,2,6,Jade,,,,Ywakra,Dhoillbridic,,,,,,,
197,same,Kilrock,Haven upon Green,4,6,4,14,Whales,,,,Ywakra,Dhoillbridic,1,1,,,,,
198,same,Keymartin,Adry,5,3,3,11,Fish,,,,Ywakra,Dhoillbridic,,,,,,,
199,same,Traitor's Isle,Saidroth,3,5,5,13,Slaves,,,,Cult of the Sea,Laghan,1,,,,,,
200,same,Lagh Omhaill,Omhaill,2,2,2,6,Wool,,,,Cult of the Sea,Laghan,,,,,,,
201,same,Lagh Balan,Balan,4,3,3,10,Slaves,,,,Cult of the Sea,Laghan,1,,,,,,
202,same,Hallick Ralland,Ey,3,5,3,11,Coal,,,,Cult of the Sea,Laghan,1,,,,,,
203,same,Poacher's Isle,Gonne,2,2,2,6,Whales,,,,Cult of the Sea,Laghan,,,,,,,
204,same,Lagh Tuo,Tuo,5,4,6,15,Whales,,,,Cult of the Sea,Laghan,,1,,,,,
205,same,Lagh Akrunac,Akrunac,3,3,3,9,Wool,,,,Cult of the Sea,Laghan,1,,,,,,
206,same,Lagh Doubhanill,Doubhan,3,4,4,11,Shellfish,,,,Cult of the Sea,Laghan,,,,,,,
207,same,Herring Isle,Nooncatch,2,4,3,9,Fish,,,,Cult of the Sea,Laghan,,,,,,,
208,same,Southrock,Toge,4,3,3,10,Ships,,,,Ywakra,Bottian,,,,,,,
209,same,Newcorpse,Newcorpse,9,7,7,23,Naval Supplies,,,,Ywakra,Bottian,1,2,,,,,
210,same,Estshire,Estwick,3,3,3,9,Fish,,,,Ywakra,Bottian,,,,,,,
211,same,Elderstone,Dorre,3,4,4,11,Stone,,,,Ywakra,Bottian,,,,,,,
212,same,Ulstanshire,Ulster,5,4,3,12,Iron,,,,Ywakra,Bottian,,,,,,,
213,same,Rocks Above,Yonder,2,2,2,6,Stone,,,,Ywakra,Bottian,,,,,,,
214,same,Kopper Hills,Kopwick,5,4,2,11,copper,,,,Ywakra,Bottian,1,,,,,,
215,same,Darshire,Darren,5,4,3,12,Wool,,,,Ywakra,Bottian,,,,,,,
216,same,Breaker's Point,Breaker's Bridge,3,5,3,11,Fish,,,,Ywakra,Bottian,,,,,,,
217,same,Doak,Doakinton,6,5,5,16,Salt,,,,Ywakra,Bottian,,,,,,,
218,same,Ywellke,Ywellke,11,7,8,26,Paper,,,,Ywakra,Bottian,,2,,,,,
219,same,Shores,Shores,6,6,4,16,Shellfish,,,,Celiicean,Selc,,,,,,,
220,same,Kettle Forest,Nuan,3,4,3,10,Naval Supplies,,,,Celiicean,Selc,,,,,,,
221,same,Aer,Aerthurbury,5,5,4,14,Cloth,,,,Brilthic Church,Upper Brilthic,,,,,,,
222,same,Morrows,Morrows,7,6,5,18,Cloth,,,,Brilthic Church,Upper Brilthic,,1,,,,,
223,same,Dun Briach,Briach,3,2,2,7,Livestock,,,,Celiicean,Issoan,,,,,,,
224,same,Dun Hlohsich,Hlosn,2,2,3,7,Wool,,,,Celiicean,Issoan,1,,,,,,
225,same,Dun Darhbh,Darville,4,3,5,12,Wool,,,,Celiicean,Issoan,,,,,,,
226,same,Vul,Vulgard,3,3,6,12,Livestock,,,,Brilthic Church,Upper Brilthic,1,,,,,,
227,same,Ilkshire,Ilk,5,4,4,13,Fish,,,,Brilthic Church,Upper Brilthic,,,,,,,
228,same,Northmouth,Wharf Point,5,7,6,18,Ships,,,,Brilthic Church,Upper Brilthic,,,,,,,
229,same,Galens,Sawburn,6,4,4,14,Livestock,,,,Brilthic Church,Upper Brilthic,,,,,,,
230,same,Gresmond,Gresmond,13,10,13,36,Paper,,,,Brilthic Church,Upper Brilthic,1,1,,,,,
231,same,Calestone,Calestone,7,5,5,17,Grain,,,,Brilthic Church,Upper Brilthic,,,,,,,
232,same,Dun Ekvyirks,Ekton,2,3,3,8,Iron,,,,Celiicean,Issoan,,,,,,,
233,same,Toderegg,Toderegg,3,4,4,11,Livestock,,,,Celiicean,Issoan,,,,,,,
234,same,In Castel,Jota,4,3,4,11,Livestock,,,,Celiicean,Issoan,1,,,,,,
235,same,Ostershire,Tainwich,4,4,2,10,Livestock,,,,Brilthic Church,Blakkan,1,1,,,,,
236,same,Dun Ferreg,Ferr,3,6,4,13,Iron,,,,Celiicean,Issoan,1,,,,,,
237,same,Wayfurd,Wayslow,4,3,3,10,Grain,,,,Brilthic Church,Blakkan,,,,,,,
238,same,Becken,Bebeck,5,4,4,13,Grain,,,,Brilthic Church,Blakkan,,,,,,,
239,same,Fourning,Fourning,6,5,5,16,Livestock,,,,Brilthic Church,Blakkan,,,,,,,
240,same,Dun Kilkrac,Kilkrac,5,7,7,19,Salt,,,,Celiicean,Dunlandic,1,1,,,,,
241,same,Dun Bodhe,Bodhe,3,4,4,11,copper,,,,Celiicean,Dunlandic,,,,,,,
242,same,Dun Ywerdunll,Ywerton,4,3,4,11,Wool,,,,Celiicean,Dunlandic,,,,,,,
243,same,Yorwikke,Yorwikke,7,7,6,20,Livestock,,,,Brilthic Church,Blakkan,,,,,,,
244,same,Blackhorse,Blackhorse,14,12,14,40,Horses,,,,Brilthic Church,Blakkan,1,2,,,,,
245,same,Cottleshores,Cottle,6,6,6,18,Grain,,,,Brilthic Church,Blakkan,,,,,,,
246,same,Ironhoof,Ironhoof,6,8,8,22,Horses,,,,Brilthic Church,Blakkan,,,,,,,
247,same,Braster,Leyfoot,5,6,5,16,Grain,,,,Brilthic Church,Blakkan,,,,,,,
248,same,Nuardernec,Adurnac,3,2,2,7,Beer,,,,Celiicean,Dunlandic,,,,,,,
249,same,Dun Ketwic,Ketwic,4,3,4,11,Wool,,,,Celiicean,Dunlandic,,,,,,,
250,same,Yoht,Hillhearth,3,5,3,11,Wool,,,,Celiicean,Dunlandic,,,,,,,
251,same,Dun Hlololthl,Paer,2,2,2,6,Naval Supplies,,,,Celiicean,Dunlandic,,,,,,,
252,same,Foregg Dun,Foregg Dun,7,8,7,22,Tea,,,,Celiicean,Dunlandic,1,1,,,,,
253,same,Yoren,Yoren,7,6,6,19,Magic Goods,,,,Brilthic Church,Orsh,,1,,,,,
254,same,Eastbridge,Eastbridge,5,4,2,11,Honey,,,,Brilthic Church,Orsh,,,,,,,
255,same,Orenheim,Orenheim,11,11,9,31,Glass,,,,Brilthic Church,Orsh,1,1,,,,,
256,same,South Oren,Kepper,5,4,5,14,Salt,,,,Brilthic Church,Orsh,,,,,,,
257,same,West Oren,Saughton,7,6,4,17,Cloth,,,,Brilthic Church,Orsh,,,,,,,
258,same,Burrough,Burrough,4,5,4,13,Livestock,,,,Brilthic Church,Orsh,,,,,,,
259,same,Cegwend,Vonting,4,3,5,12,Naval Supplies,,,,Brilthic Church,Lower Brilthic,,,,,,,
260,same,Whitefield,Hodwyn's Grove,4,4,4,12,Livestock,,,,Brilthic Church,Lower Brilthic,,,,,,,
261,same,Myles,Myles,8,6,6,20,Cloth,,,,Brilthic Church,Lower Brilthic,,1,,,,,
262,same,Eldershire,Old Rock,6,6,5,17,Gems,,,,Brilthic Church,Lower Brilthic,1,,,,,,
